Company,Symbol,Weight,      Price,,
Eastman Chemical Company,EMN,0.036903,   109.42,,
Hormel Foods Corporation,HRL,0.036819,   49.74,,
J.M. Smucker Company,SJM,0.036657,   129.87,,
C.H. Robinson Worldwide Inc.,CHRW,0.036514,   105.60,,
ABIOMED Inc.,ABMD,0.036479,   303.82,,
Howmet Aerospace Inc.,HWM,0.036438,   35.69,,
Jack Henry & Associates Inc.,JKHY,0.03639,   184.77,,
United Airlines Holdings Inc.,UAL,0.03593,   41.20,,
Host Hotels & Resorts Inc.,HST,0.035722,   18.54,,
Robert Half International Inc.,RHI,0.035612,   118.70,,
W. R. Berkley Corporation,WRB,0.035553,   96.86,,
Las Vegas Sands Corp.,LVS,0.035513,   38.83,,
MarketAxess Holdings Inc.,MKTX,0.035505,   349.99,,
Bath & Body Works Inc.,BBWI,0.035225,   49.13,,
Advance Auto Parts Inc.,AAP,0.034954,   205.59,,
Fox Corporation Class A,FOXA,0.034922,   41.02,,
Loews Corporation,L,0.034135,   63.96,,
Viatris Inc.,VTRS,0.034043,   10.83,,
Comerica Incorporated,CMA,0.033611,   94.42,,
LKQ Corporation,LKQ,0.033516,   46.39,,
Bio-Rad Laboratories Inc. Class A,BIO,0.033399,   581.51,,
WestRock Company,WRK,0.033374,   46.90,,
Nordson Corporation,NDSN,0.033227,   228.97,,
Citrix Systems Inc.,CTXS,0.032989,   100.88,,
Cboe Global Markets Inc,CBOE,0.0329,   116.95,,
PulteGroup Inc.,PHM,0.032437,   46.70,,
F5 Inc.,FFIV,0.032385,   204.66,,
Henry Schein Inc.,HSIC,0.032201,   87.89,,
Fortune Brands Home & Security Inc.,FBHS,0.031671,   83.66,,
Whirlpool Corporation,WHR,0.03128,   188.63,,
Brown-Forman Corporation Class B,BF.B,0.03125,   65.09,,
PTC Inc.,PTC,0.031167,   110.16,,
NiSource Inc,NI,0.030953,   30.39,,
Snap-on Incorporated,SNA,0.030504,   213.86,,
Hasbro Inc.,HAS,0.030361,   89.21,,
Juniper Networks Inc.,JNPR,0.030331,   35.27,,
Everest Re Group Ltd.,RE,0.030179,   287.70,,
Lincoln National Corporation,LNC,0.029679,   65.11,,
American Airlines Group Inc.,AAL,0.028612,   16.17,,
Universal Health Services Inc. Class B,UHS,0.028389,   148.21,,
DENTSPLY SIRONA Inc.,XRAY,0.028082,   49.15,,
Allegion PLC,ALLE,0.027994,   118.06,,
Zions Bancorporation N.A.,ZION,0.027275,   67.62,,
Regency Centers Corporation,REG,0.027261,   67.63,,
Sealed Air Corporation,SEE,0.027075,   68.14,,
Lumen Technologies Inc.,LUMN,0.027034,   11.05,,
Tapestry Inc.,TPR,0.026884,   37.78,,
Assurant Inc.,AIZ,0.026591,   177.67,,
Molson Coors Beverage Company Class B,TAP,0.026528,   52.88,,
Ceridian HCM Holding Inc.,CDAY,0.025115,   68.38,,
Pentair plc,PNR,0.025064,   57.18,,
NRG Energy Inc.,NRG,0.024679,   37.58,,
BorgWarner Inc.,BWA,0.024561,   38.38,,
Globe Life Inc.,GL,0.024285,   98.63,,
A. O. Smith Corporation,AOS,0.023941,   67.74,,
People's United Financial Inc.,PBCT,0.023868,   21.40,,
Organon & Co.,OGN,0.023609,   35.64,,
Nielsen Holdings Plc,NLSN,0.023269,   22.56,,
News Corporation Class A,NWSA,0.023038,   22.02,,
Campbell Soup Company,CPB,0.022909,   42.64,,
Newell Brands Inc,NWL,0.022514,   22.26,,
Wynn Resorts Limited,WYNN,0.022301,   78.85,,
DXC Technology Co.,DXC,0.022088,   33.03,,
Norwegian Cruise Line Holdings Ltd.,NCLH,0.021996,   19.68,,
Pinnacle West Capital Corporation,PNW,0.021874,   73.99,,
Federal Realty Investment Trust,FRT,0.021733,   117.93,,
Mohawk Industries Inc.,MHK,0.021359,   139.66,,
Discovery Inc. Class C,DISCK,0.021203,   26.16,,
Lamb Weston Holdings Inc.,LW,0.020914,   54.86,,
DISH Network Corporation Class A,DISH,0.020836,   31.35,,
Huntington Ingalls Industries Inc.,HII,0.020534,   199.17,,
Franklin Resources Inc.,BEN,0.020272,   27.89,,
Rollins Inc.,ROL,0.02015,   33.61,,
Penn National Gaming Inc.,PENN,0.019719,   43.53,,
Invesco Ltd.,IVZ,0.0193,   21.47,,
Vornado Realty Trust,VNO,0.019255,   46.26,,
DaVita Inc.,DVA,0.018559,   111.88,,
Alaska Air Group Inc.,ALK,0.018235,   54.01,,
PVH Corp.,PVH,0.015838,   82.02,,
Ralph Lauren Corporation Class A,RL,0.015564,   118.94,,
Fox Corporation Class B,FOX,0.014759,   37.72,,
IPG Photonics Corporation,IPGP,0.011375,   117.34,,
Discovery Inc. Class A,DISCA,0.01132,   26.13,,
Under Armour Inc. Class A,UAA,0.008801,   16.89,,
Under Armour Inc. Class C,UA,0.008148,   15.21,,
